# in format of iata, icao, name, latitude, longitude, countryCode, city, zone, size
REU,LERS,Reus Airport,41.1475,1.167222,ES,Reus,EU,4
SDF,KSDF,Louisville International Airport,38.174167,-85.736389,US,Louisville,NA,5
OMA,KOMA,Eppley Airfield,41.3012,-95.8954,US,Omaha,NA,5
BOI,KBOI,Boise Air Terminal Gowen field,43.56439972,-116.2229996,US,Boise City,NA,3
SXM,TCNM, Princess Juliana International Airport,18.0419,63.1131,FR,NA,4
IST,LTFM, Istanbul Airport,41.2599,28.7427,TR,AS,9
EPSY SZY Olsztyn Olsztyn-Mazury Airport Poland 2
ACI,EGJA,St. Anne Alderney Airport,49.7088, 2.2148,UK,Alderney,EU,1
GCI,EGJB,St. Peter Port Guernsey Airport,49.4341, 2.5995,UK,Guernsey,EU,2
JER,EGJJ,Saint Helier Jersey Airport,49.2075, 2.1952,UK,Saint Peter,EU,2
IOM,EGNS,Ronaldsway Isle of Man Airport,54.0866,4.6339,UK,Isle of Man,EU,2
LYR,ENSB,Longyear Svalbard Airport,78.2461,15.4656,NO,Longyearbyen,EU,2
SZY,EPSY,Olsztyn-Mazury Airport,53.4879,20.9465,PL,Olsztyn,EU,2
YQG,CYQG,Windsor Windsor International Airport,42.2715,82.9583,CA,NA,2
YQX,CYQX,Gander Gander International Airport,48.9466,54.5757,CA,NA,3
YYR,CYYR,CFB Goose Bay,Goose Bay,53.3134,60.4123,CA,NA,2
